Semestre_Ref;Ano;Mes;YYYYMM;CNPJ8;Arquivo_PDF;Ident__Razao_Social;Ident__CNPJ;Ident__Auditor_Independente;Ident__Opiniao_Auditor;Ident__Enfase_Auditor;Ident__Eventos_Subsequentes_Adversos;Contas__Ativo_Total;Contas__Patrimonio_Liquido;Contas__Lucro_Liquido;Contas__Caixa_Equivalentes;Contas__Obrigacoes_Liquidacao;Contas__Receita_Servicos;Contas__Despesa_Processamento;Contas__Resultado_Financeiro;Contas__Despesa_Operacional_Total;Contas__Provisao_Perdas;Contas__Fluxo_Caixa_Operacional;Contas__Ativo_Intangivel;Contas__Ativo_Partes_Relacionadas;Contas__Passivo_Partes_Relacionadas;Contas__Provisao_Contingencias;Contas__Ativo_Fiscal_Diferido;Indic__Liquidez_Imediata;Indic__Indice_Capitalizacao;Indic__ROE;Indic__Margem_Servicos;Indic__Indice_Eficiencia
2019-S2;2019;12;201912;01425787;201912-9010-01425787.pdf;Redecard S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes;Sem Ressalva;Não;Não;71514922;17126772;965691;292996;53694568;4259203;0;539270;2335093;0;-3502231;195417;10508594;78070;77333;156167;0.01;0.24;0.06;4259203;0.49
2020-S1;2020;6;202006;01425787;202006-9010-01425787.pdf;REDECARD S.A.;01425787000104;PricewaterhouseCoopers;Sem Ressalva;Não;Não;58470718;17218437;88225;9149300;40600481;1402215;0;194115;1097624;0;3032538;196332;10712178;721513;99912;117123;0.23;0.29;0.01;1402215;0.69
2020-S2;2020;12;202012;01425787;202012-9010-01425787.pdf;REDECARD S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes;Sem Ressalva;Não;Não;66769913;17326003;195161;2910447;48937791;2957008;431876;342695;2203472;0;-2684675;195822;10233440;0;85096;115451;0.06;0.26;0.01;2525132;0.67
2021-S1;2021;6;202106;01425787;202106-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers;Sem Ressalva;Não;Não;67773450;23545874;218078;4813031;43713910;1461085;196826;249535;1035177;0;-3923011;206033;10577688;20183;82990;109608;0.11;0.35;0.01;1264259;0.61
2021-S2;2021;12;202112;01425787;202112-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;101596407;44844985;837455;1737371;53157218;3180187;405117;1016664;2218251;0;-9669490;256642;43660850;8802063;71119;123194;0.03;0.44;0.02;2775070;0.53
2022-S1;2022;6;202206;01425787;202206-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;97517355;43326634;1502527;560293;50170785;1926903;0;1954665;1108834;0;-5862755;335022;40111953;3720679;73812;114831;0.01;0.44;0.03;1926903;0.29
2022-S2;2022;12;202212;01425787;202212-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;113894954;45144806;3347985;2111837;64262980;4216221;0;4357040;2317567;0;-1580312;396200;26639271;3433;83485;133801;0.03;0.4;0.07;4216221;0.27
2023-S1;2023;6;202306;01425787;202306-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;107146007;47034408;2050369;700474;58884385;2370807;0;2673632;1167798;0;-3958338;411752;27960607;2288;82479;137512;0.0119;0.439;0.0436;2370807;0.2315
2023-S2;2023;12;202312;01425787;202312-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;127263373;48943147;3996450;14048804;76626425;4906298;921783;5067852;2373462;0;-1420302;425453;31309514;1468;84507;168091;0.18;0.38;0.08;3984515;0.24
2024-S1;2024;6;202406;01425787;202406-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;135099291;50186326;1498170;2674089;84140034;1581771;0;2531543;1156428;0;7088944;423631;32315695;1415;92895;151597;0.03;0.37;0.03;1581771;0.28
2024-S2;2024;12;202412;01425787;202412-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Não;Não;128999093;45032961;3346831;1862533;83228162;3123160;0;5487989;2401939;0;4614507;415394;21470098;1488;95321;147193;0.02;0.35;0.07;3123160;0.28
2025-S1;2025;6;202506;01425787;202506-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;126186819;37862004;1833037;128297;87450562;1145800;0;3240398;1188604;0;2273566;408886;17752129;820;88560;133863;0.0015;0.3;0.0484;1145800;0.271
2025-S2;2025;12;202512;01425787;202512-9010-01425787.pdf;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;01425787000104;PricewaterhouseCoopers Auditores Independentes Ltda.;Sem Ressalva;Sim;Não;159478486;39711197;3721126;9359834;111724007;2254121;1233760;7010693;3571489;0;-1821898;391930;25471258;2948130;94851;169277;0.08;0.25;0.09;1020361;0.39
