2026-04-21 23:04:59 | INFO    | src.gemini_client | GeminiClient iniciado | modelo=gemini-3.1-pro-preview | retries=5
2026-04-21 23:04:59 | INFO    | src.institution_processor | Descoberta: 208 PDFs válidos em 16 instituições (0 ignorados).
2026-04-21 23:04:59 | INFO    | src.institution_processor | ==> Instituição 01027058 (13 arquivo(s))
2026-04-21 23:04:59 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-01027058.pdf (4.06 MB)
2026-04-21 23:05:02 | INFO    | src.gemini_client | Arquivo pronto: files/ishuif74zhez (estado=ACTIVE)
2026-04-21 23:06:35 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-01027058.pdf (3.70 MB)
2026-04-21 23:06:38 | INFO    | src.gemini_client | Arquivo pronto: files/9sav0f2syurr (estado=ACTIVE)
2026-04-21 23:07:18 | INFO    | src.gemini_client | Enviando PDF: 202012-9010-01027058.pdf (3.84 MB)
2026-04-21 23:07:23 | INFO    | src.gemini_client | Arquivo pronto: files/87qd0huz9nye (estado=ACTIVE)
2026-04-21 23:08:03 | INFO    | src.gemini_client | Enviando PDF: 202106-9010-01027058.pdf (4.73 MB)
2026-04-21 23:08:06 | INFO    | src.gemini_client | Arquivo pronto: files/uwygbgz94uoz (estado=ACTIVE)
2026-04-21 23:08:47 | INFO    | src.gemini_client | Enviando PDF: 202112-9010-01027058.pdf (3.07 MB)
2026-04-21 23:08:50 | INFO    | src.gemini_client | Arquivo pronto: files/m67yife1109a (estado=ACTIVE)
2026-04-21 23:09:33 | INFO    | src.gemini_client | Enviando PDF: 202206-9010-01027058.pdf (2.95 MB)
2026-04-21 23:09:36 | INFO    | src.gemini_client | Arquivo pronto: files/isp8ng96bkhe (estado=ACTIVE)
2026-04-21 23:10:27 | INFO    | src.gemini_client | Enviando PDF: 202212-9010-01027058.pdf (16.55 MB)
2026-04-21 23:10:32 | INFO    | src.gemini_client | Arquivo pronto: files/y7bb7sljtc34 (estado=ACTIVE)
2026-04-21 23:11:25 | INFO    | src.gemini_client | Enviando PDF: 202306-9010-01027058.pdf (2.70 MB)
2026-04-21 23:11:29 | INFO    | src.gemini_client | Arquivo pronto: files/9hr4tei31b1d (estado=ACTIVE)
2026-04-21 23:12:12 | INFO    | src.gemini_client | Enviando PDF: 202312-9010-01027058.pdf (3.46 MB)
2026-04-21 23:12:16 | INFO    | src.gemini_client | Arquivo pronto: files/7wxc8f65mxk2 (estado=ACTIVE)
2026-04-21 23:13:30 | INFO    | src.gemini_client | Enviando PDF: 202406-9010-01027058.pdf (3.49 MB)
2026-04-21 23:13:35 | INFO    | src.gemini_client | Arquivo pronto: files/6njor7wann26 (estado=ACTIVE)
2026-04-21 23:14:16 | INFO    | src.gemini_client | Enviando PDF: 202412-9010-01027058.pdf (14.87 MB)
2026-04-21 23:14:21 | INFO    | src.gemini_client | Arquivo pronto: files/29hsk5w4vmqd (estado=ACTIVE)
2026-04-21 23:15:29 | INFO    | src.gemini_client | Enviando PDF: 202506-9010-01027058.pdf (2.58 MB)
2026-04-21 23:15:32 | INFO    | src.gemini_client | Arquivo pronto: files/sgv9cqk44btn (estado=ACTIVE)
2026-04-21 23:16:17 | INFO    | src.gemini_client | Enviando PDF: 202512-9010-01027058.pdf (3.11 MB)
2026-04-21 23:16:20 | INFO    | src.gemini_client | Arquivo pronto: files/wloji4948fiu (estado=ACTIVE)
2026-04-21 23:17:03 | INFO    | src.csv_builder | CSV gerado: /app/CSV/01027058/01027058.csv (13 linhas)
2026-04-21 23:17:03 | INFO    | src.institution_processor | ==> Instituição 01425787 (13 arquivo(s))
2026-04-21 23:17:03 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-01425787.pdf (0.32 MB)
2026-04-21 23:17:06 | INFO    | src.gemini_client | Arquivo pronto: files/p9y7l73wvgi9 (estado=ACTIVE)
2026-04-21 23:17:56 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-01425787.pdf (2.29 MB)
2026-04-21 23:17:59 | INFO    | src.gemini_client | Arquivo pronto: files/r9o538z6a5g4 (estado=ACTIVE)
2026-04-21 23:18:54 | INFO    | src.gemini_client | Enviando PDF: 202012-9010-01425787.pdf (0.95 MB)
2026-04-21 23:18:58 | INFO    | src.gemini_client | Arquivo pronto: files/9sv3budfkfut (estado=ACTIVE)
2026-04-21 23:19:52 | WARNING | src.gemini_client | Resposta de 202012-9010-01425787.pdf veio como lista de 1 elemento — desembrulhando.
2026-04-21 23:19:54 | INFO    | src.gemini_client | Enviando PDF: 202106-9010-01425787.pdf (0.50 MB)
2026-04-21 23:19:58 | INFO    | src.gemini_client | Arquivo pronto: files/kndoy2a16c12 (estado=ACTIVE)
2026-04-21 23:20:43 | INFO    | src.gemini_client | Enviando PDF: 202112-9010-01425787.pdf (0.45 MB)
2026-04-21 23:20:46 | INFO    | src.gemini_client | Arquivo pronto: files/ggygmcxv6b07 (estado=ACTIVE)
2026-04-21 23:21:31 | INFO    | src.gemini_client | Enviando PDF: 202206-9010-01425787.pdf (1.27 MB)
2026-04-21 23:21:35 | INFO    | src.gemini_client | Arquivo pronto: files/e68bj5gktcj6 (estado=ACTIVE)
2026-04-21 23:22:17 | INFO    | src.gemini_client | Enviando PDF: 202212-9010-01425787.pdf (0.61 MB)
2026-04-21 23:22:19 | INFO    | src.gemini_client | Arquivo pronto: files/3fcod18ck325 (estado=ACTIVE)
2026-04-21 23:23:17 | INFO    | src.gemini_client | Enviando PDF: 202306-9010-01425787.pdf (1.07 MB)
2026-04-21 23:23:23 | INFO    | src.gemini_client | Arquivo pronto: files/ibps0cxbzfqh (estado=ACTIVE)
