inst_hash,bloco,escopo,nivel,descricao,valor,periodo
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1,Total Ativo,112625366668.67325,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1,Total Ativo,116759873571.59486,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1,Total do ativo circulante,97174302823.98534,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1,Total do ativo circulante,97710010869.42912,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.01,Disponibilidades,43957813.76105559,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.01,Disponibilidades,165045256.26231617,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.02,"Instrumentos financeiros, incluindo derivativos",3394174415.442558,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.02,"Instrumentos financeiros, incluindo derivativos",4666234846.459278,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.03,Fundos de investimento em direitos creditórios,2387284727.16857,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.03,Fundos de investimento em direitos creditórios,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.04,Rendas a receber,436050730.3800748,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.04,Rendas a receber,1206841444.2412295,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.05,Contas a receber de emissores,90325616628.39688,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.05,Contas a receber de emissores,90554382207.0099,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.06,Contas a receber com partes relacionadas,6790420.134728682,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.06,Contas a receber com partes relacionadas,38571907.87641609,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.07,Impostos e contribuições a compensar/recuperar,641107231.4362538,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.07,Impostos e contribuições a compensar/recuperar,1045670532.1545496,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.08,Outras contas a receber operacionais,240763922.11032876,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.08,Outras contas a receber operacionais,339061863.4186823,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.09,Provisão para créditos incobráveis,-358158872.1432649,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.09,Provisão para créditos incobráveis,-392828061.8187904,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.1.10,Outros valores a receber,56715807.29813747,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.1.10,Outros valores a receber,87030873.82554443,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.2,Total do ativo realizável a longo prazo e permanente,15451063844.687914,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.2,Total do ativo realizável a longo prazo e permanente,19049862702.165733,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.2.01.01,"Instrumentos financeiros, incluindo derivativos",226344758.3674481,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.2.01.01,"Instrumentos financeiros, incluindo derivativos",590556325.9888291,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.2.01.02,Depósitos judiciais,2033135620.6851096,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.2.01.02,Depósitos judiciais,2036464409.7388105,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.2.01.03,Créditos tributários,1196763506.3622608,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.2.01.03,Créditos tributários,1495768984.4923575,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.2.01.04,Outras contas a receber operacionais,26617415.145399913,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.2.01.04,Outras contas a receber operacionais,28902813.906793877,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.2.02.01,Investimentos,9999706822.157204,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.2.02.01,Investimentos,157204997.1931774,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.2.02.02,Imobilizado de uso,1199292663.795158,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.2.02.02,Imobilizado de uso,1272647257.4481168,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,1.2.02.03,Intangível,769203058.1753331,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,1.2.02.03,Intangível,13468317913.397648,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2,Total do passivo e patrimônio líquido,112625366668.67325,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2,Total do passivo e patrimônio líquido,116759873571.59486,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1,Total do passivo circulante,87298511818.75587,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1,Total do passivo circulante,86537575919.75691,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1.01,Obrigações por empréstimos,51865138.70806823,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.01,Obrigações por empréstimos,52827276.10987404,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1.02,Instrumentos financeiros derivativos,2681345.38653389,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.02,Instrumentos financeiros derivativos,2681345.38653389,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1.03,Outras obrigações,87243965334.66127,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.03,Outras obrigações,86482067298.26051,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1.03.01,Sociais e estatutárias,287924131.5398613,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.03.01,Sociais e estatutárias,357310230.84247637,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1.03.02,Fiscais e previdenciárias,304958864.51982266,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.03.02,Fiscais e previdenciárias,749512774.3772509,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1.03.03,Obrigações com cotas de terceiros FIDC,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.03.03,Obrigações com cotas de terceiros FIDC,3922659981.7307057,2020-12-31
