bloco,escopo,nivel,descricao,valor,cnpj,periodo
BP,IND,1,Total Ativo,87324870000.0,01027058,2020-12-31
BP,CON,1,Total Ativo,90530589000.0,01027058,2020-12-31
BP,IND,1.1,Total do ativo circulante,75344779000.0,01027058,2020-12-31
BP,CON,1.1,Total do ativo circulante,75760144000.0,01027058,2020-12-31
BP,IND,1.1.01,Disponibilidades,34083000.0,01027058,2020-12-31
BP,CON,1.1.01,Disponibilidades,127969000.0,01027058,2020-12-31
BP,IND,1.1.02,"Instrumentos financeiros, incluindo derivativos",2631697000.0,01027058,2020-12-31
BP,CON,1.1.02,"Instrumentos financeiros, incluindo derivativos",3617998000.0,01027058,2020-12-31
BP,IND,1.1.03,Fundos de investimento em direitos creditórios,1850998000.0,01027058,2020-12-31
BP,CON,1.1.03,Fundos de investimento em direitos creditórios,0.0,01027058,2020-12-31
BP,IND,1.1.04,Rendas a receber,338095000.0,01027058,2020-12-31
BP,CON,1.1.04,Rendas a receber,935733000.0,01027058,2020-12-31
BP,IND,1.1.05,Contas a receber de emissores,70034602000.0,01027058,2020-12-31
BP,CON,1.1.05,Contas a receber de emissores,70211977000.0,01027058,2020-12-31
BP,IND,1.1.06,Contas a receber com partes relacionadas,5265000.0,01027058,2020-12-31
BP,CON,1.1.06,Contas a receber com partes relacionadas,29907000.0,01027058,2020-12-31
BP,IND,1.1.07,Impostos e contribuições a compensar/recuperar,497087000.0,01027058,2020-12-31
BP,CON,1.1.07,Impostos e contribuições a compensar/recuperar,810768000.0,01027058,2020-12-31
BP,IND,1.1.08,Outras contas a receber operacionais,186678000.0,01027058,2020-12-31
BP,CON,1.1.08,Outras contas a receber operacionais,262894000.0,01027058,2020-12-31
BP,IND,1.1.09,Provisão para créditos incobráveis,-277701000.0,01027058,2020-12-31
BP,CON,1.1.09,Provisão para créditos incobráveis,-304582000.0,01027058,2020-12-31
BP,IND,1.1.10,Outros valores a receber,43975000.0,01027058,2020-12-31
BP,CON,1.1.10,Outros valores a receber,67480000.0,01027058,2020-12-31
BP,IND,1.2,Total do ativo realizável a longo prazo e permanente,11980091000.0,01027058,2020-12-31
BP,CON,1.2,Total do ativo realizável a longo prazo e permanente,14770445000.0,01027058,2020-12-31
BP,IND,1.2.01.01,"Instrumentos financeiros, incluindo derivativos",175498000.0,01027058,2020-12-31
BP,CON,1.2.01.01,"Instrumentos financeiros, incluindo derivativos",457892000.0,01027058,2020-12-31
BP,IND,1.2.01.02,Depósitos judiciais,1576406000.0,01027058,2020-12-31
BP,CON,1.2.01.02,Depósitos judiciais,1578987000.0,01027058,2020-12-31
BP,IND,1.2.01.03,Créditos tributários,927919000.0,01027058,2020-12-31
BP,CON,1.2.01.03,Créditos tributários,1159755000.0,01027058,2020-12-31
